BUFR TABLES RELATIVE TO SECTION 3;;;

BUFR Table B — Classification of elements;;;

F;X;Class;Comments
0;0;BUFR table entries;
0;1;Identification;Identifies origin and type of data
0;2;Instrumentation;Defines instrument types used
0;3;Reserved;
0;4;Location (time);Defines time and time derivatives
0;5;Location (horizontal – 1);Defines geographical position, including horizontal derivatives, in association with class 06 (first dimension of horizontal space)
0;6;Location (horizontal – 2);Defines geographical position, including horizontal derivatives, in association with class 05 (second dimension of horizontal space)
0;7;Location (vertical);Defines height, altitude, pressure level, including vertical derivatives of position
0;8;Significance qualifiers;Defines special character of data
0;9;Reserved;
0;10;Vertical elements and pressure;Height, altitude, pressure and derivatives observed or measured, not defined as a vertical location
0;11;Wind and turbulence;Wind speed, direction, etc.
0;12;Temperature;
0;13;Hygrographic and hydrological elements;Humidity, rainfall, snowfall, etc.
0;14;Radiation and radiance;
0;15;Physical/chemical constituents;
0;19;Synoptic features;
0;20;Observed phenomena;Defines present/past weather, special phenomena, etc.
0;21;Radar data;
0;22;Oceanographic elements;
0;23;Dispersal and transport;
0;24;Radiological elements;
0;25;Processing information;
0;26;Non-coordinate location (time);Defines time and time derivatives that are not coordinates
0;27;Non-coordinate location (horizontal – 1);Defines geographical positions, in conjunction with class 28, that are not coordinates
0;28;Non-coordinate location (horizontal – 2);Defines geographical positions, in conjunction with class 27, that are not coordinates
0;29;Map data;
0;30;Image;
0;31;Data description operator qualifiers;Elements used in conjunction with data description operators
0;33;Quality information;
0;35;Data monitoring;

Notes:;;;
-1;Where a code table or flag table is appropriate, “code table” or “flag table” respectively is entered in the UNITS column.;;
-2;The code tables and flag tables associated with Table B are numbered to correspond with the F, X and Y part of the table reference.;;
-3;To encode values into BUFR, the data (with units as specified in the UNITS column) must be multiplied by 10 to the power SCALE.  Then subtract the REFERENCE VALUE to give the coded value found in Section 4 of the BUFR message.  For example, a measured latitude is –45.76 degrees.  The coarse accuracy descriptor is 0 05 002 and the encoded value is –45.76 x 102 – (–9000) = 4424.;;
-4;Where UNITS are given as CCITT IA5, data shall be coded as character data left justified within the field width indicated using CCITT International Alphabet No. 5, and blank filled to the full field width indicated.;;
-5;"Classes 48 to 63 are reserved for local use; all other classes are reserved for future development.";;
-6;Entries 192 to 255 within all classes are reserved for local use.;;
-7;The use of local descriptors, as defined in Notes (5) and (6), in messages intended for non-local or international exchange is strongly discouraged.  They should be kept to the barest minimum possible and must also be by-passed by the use of descriptor 2 06 YYY.;;
-8;First-order statistics are included in Table B only when they are produced, as such, by the observing system.;;
 Class 00 - BUFR/CREX(*) table entries;;;




TABLE REFERENCE;;;;;;;;;;

TABLE;;;;;;;;;;
ELEMENT NAME;BUFR;CREX;;;;;;;;

UNIT;;;;;;;;;;
SCALE;REFERENCE VALUE;DATA WIDTH (Bits);;;;;;;;
UNIT;;;;;;;;;;
SCALE;DATA;;;;;;;;;
WIDTH (Characters);;;;;;;;;;
F;X;Y;;;;;;;;
0;0;1;Table A:  entry;CCITT IA5;0;0;24;Character;0;3
0;0;2;Table A:  data category description, line 1;CCITT IA5;0;0;256;Character;0;32
0;0;3;Table A:  data category description, line 2;CCITT IA5;0;0;256;Character;0;32
0;0;5;BUFR/CREX edition number;CCITT IA5;0;0;24;Character;0;3
0;0;10;F descriptor to be added or defined;CCITT IA5;0;0;8;Character;0;1
0;0;11;X descriptor to be added or defined;CCITT IA5;0;0;16;Character;0;2
0;0;12;Y descriptor to be added or defined;CCITT IA5;0;0;24;Character;0;3
0;0;13;Element name, line 1;CCITT IA5;0;0;256;Character;0;32
0;0;14;Element name, line 2;CCITT IA5;0;0;256;Character;0;32
0;0;15;Units name;CCITT IA5;0;0;192;Character;0;24
0;0;16;Units scale sign;CCITT IA5;0;0;8;Character;0;1
0;0;17;Units scale;CCITT IA5;0;0;24;Character;0;3
0;0;18;Units reference sign;CCITT IA5;0;0;8;Character;0;1
0;0;19;Units reference value;CCITT IA5;0;0;80;Character;0;10
0;0;20;Element data width;CCITT IA5;0;0;24;Character;0;3
0;0;30;Descriptor defining sequence;CCITT IA5;0;0;48;Character;0;6

Note : (*) For CREX descriptors F = B, not 0.;;;;;;;;;;
 Class 01 - Identification;;

TABLE REFERENCE; ;
TABLE;;
ELEMENT NAME;BUFR;CREX

UNIT;;
SCALE;;
REFERENCE VALUE;DATA WIDTH (Bits);
UNIT;;
SCALE;DATA;
WIDTH (Characters);;

F;;
X;;
Y;;
0;1;1;WMO block number;Numeric;0;0;7;Numeric;0;2
0;1;2;WMO station number;Numeric;0;0;10;Numeric;0;3
0;1;3;WMO Region number/geographical area;Code table;0;0;3;Code table;0;1
0;1;4;WMO Region sub-area (see Note 9);Numeric;0;0;3;Numeric;0;1
0;1;5;Buoy/platform identifier;Numeric;0;0;17;Numeric;0;5
0;1;6;Aircraft flight number;CCITT IA5;0;0;64;Character;0;8
0;1;7;Satellite identifier;Code table;0;0;10;Code table;0;4
0;1;8;Aircraft registration number;CCITT IA5;0;0;64;Character;0;8
0;1;9;Type of commercial aircraft;CCITT IA5;0;0;64;Character;0;8
0;1;10;"Stationary buoy platform identifier; e.g. C-MAN buoys";CCITT IA5;0;0;64;Character;0;8
0;1;11;Ship or mobile land station identifier;CCITT IA5;0;0;72;Character;0;9
