BUFR Table D - Lists of common sequences;;

F;X;Category of sequences
3;0;BUFR table entries sequences
3;1;Location and identification sequences
3;2;Meteorological sequences common to surface data
3;3;Meteorological sequences common to vertical soundings data
3;4;Meteorological sequences common to satellite observations
3;5;Meteorological or hydrological sequences common to hydrological observations
3;6;Meteorological or oceanographic sequences common to oceanographic observations
3;7;Surface report sequences (land)
3;8;Surface report sequences (sea)
3;9;Vertical sounding sequences (conventional data)
3;10;Vertical sounding sequences (satellite data)
3;11;Single level report sequences (conventional data)
3;12;Single level report sequences (satellite data)
3;13;Sequences common to image data
3;14;Reserved
3;15;Oceanographic report sequences
3;16;Synoptic feature sequences
3;18;Radiological report sequences
3;21;Radar report sequences

Notes:;;

-1;From a conceptual point of view, Table D is not necessary:;
(a);"The Data description section can fully and completely describe the data using only element descriptors, operator descriptors and the rules of description;";
(b);"Such a means of defining the data would involve considerable overheads in terms of the length of the Data description section.  Table D is a device to reduce these overheads;";
(c);"Each entry within Table D contains a list of descriptors.  Each sequence descriptor that references to Table D may be “expanded” by replacing it with the list corresponding to that entry.  The process of “expansion” is well defined, provided it results in a set of element descriptors and operator descriptors;";
(d);"Descriptors listed in entries to Table D may themselves refer to Table D, provided no circularity results on repeated expansion;";
(e);The initial Table D has been limited to lists of descriptors likely to be used frequently.  Every attempt has been made not to produce initial tables that are too comprehensive.  Minor differences of reporting practice can be accommodated by not endeavouring to reduce each observation type to a single descriptor.  Indeed, much more flexibility is retained if the Data description section is envisaged as containing three or four descriptors.;

-2;It should be noted that, initially, effort has been concentrated on the requirements for observational data.  Extensions to forecast data, time series data, products, etc., follow logically, and can be added at an appropriate future date.

-3;"Category 1 contains common sequences of non-meteorological descriptors; categories 2 to 6 contain common sequences of meteorological descriptors; categories 7 to 21 contain sequences which define reports, or major subsets of reports."

-4;Underwater soundings are included, with some minor omissions, to illustrate the facility to describe data of slightly different contents.

-5;Satellite data have been split to maximize the benefits of data compression.  Compound combinations may easily be defined using the descriptors available.

-6;Satellite observation data benefit enormously from being split into fragments (1, 2, 3 . . . 7), then applying data compression to many locations within each fragment.  Again, BUFR flexibility enables compound forms to be defined if desired.

-7;"Categories 48 to 63 are reserved for local use; all other categories are reserved for future development."

-8;Entries 192 to 255 within all categories are reserved for local use.
 Category 00 - BUFR table entries sequences;


TABLE;;;;;;
REFERENCE;;;;;;
TABLE;;;;;;
REFERENCES;;;;;;
ELEMENT NAME;;;;;;
F;X;Y;;;;
3;0;2;0;0;2;Table A category, line 1
;;;0;0;3;Table A category, line 2
3;0;3;0;0;10;F,  part descriptor
;;;0;0;11;X,  part descriptor
;;;0;0;12;Y,  part descriptor
3;0;4;3;0;3;
;;;0;0;13;Element name, line 1
;;;0;0;14;Element name, line 2
;;;0;0;15;Units name
;;;0;0;16;Units scale sign
;;;0;0;17;Units scale
;;;0;0;18;Units reference sign
;;;0;0;19;Units reference value
;;;0;0;20;Element data width
3;0;10;3;0;3;Table D descriptor to be defined
;;;1;1;0;Delayed replication of 1 descriptor
;;;0;31;1;Delayed descriptor replication factor
;;;0;0;30;Descriptor defining sequence

Notes:;;;;;;
-1;These entries include the facility to update the Table A code figure and data description.;;;;;

-2;"It is better to use different class 00 descriptors for the defining and defined elements, in the same way as different descriptors correspond to pressure considered as a coordinate and pressure measured at a given point; otherwise special rules would be needed to interpret such message.";;;;;
"Entries 0 00 010 to 0 00 012 define F, X and Y for Tables B and D;  entry 0 00 030 is a descriptor used as data and provides the F, X and Y values defining a sequence for Table D entries.";;;;;;

-3;"It could be argued that, as only additions are possible, only complete lines should be allowed; but it is conceivable that local areas will require changes as well as additions, so it is better and in any case clearer to provide descriptions for all the fields.";;;;;


 Category 01 - Location and Identification sequences;;;;;;

TABLE;;;;;;
REFERENCE;;;;;;
TABLE;;;;;;
REFERENCES;;;;;;
ELEMENT NAME;;;;;;
F;X;Y;;;;
3;1;1;0;1;1;WMO block number
;;;0;1;2;WMO station number
3;1;002*;0;1;3;WMO Region number
;;;0;1;4;WMO Region sub-area
;;;0;1;5;Buoy/platform identifier
3;1;3;0;1;11;Ship's call sign
;;;0;1;12;Direction of motion of moving observing platform;
;;;0;1;13;Speed of motion of moving observing platform;
3;1;11;0;4;1;Year;
;;;0;4;2;Month;
;;;0;4;3;Day;
3;1;12;0;4;4;Hour;
;;;0;4;5;Minute;
3;1;13;0;4;4;Hour;
;;;0;4;5;Minute;
;;;0;4;6;Second;
3;1;21;0;5;1;Latitude;high accuracy
;;;0;6;1;Longitude;
3;1;22;0;5;1;Latitude;high accuracy
;;;0;6;1;Longitude;
;;;0;7;1;Height of station;
3;1;23;0;5;2;Latitude;coarse accuracy
;;;0;6;2;Longitude;
3;1;24;0;5;2;Latitude;coarse accuracy
;;;0;6;2;Longitude;
;;;0;7;1;Height of station;
3;1;25;3;1;23;Latitude and longitude (coarse accuracy);
